"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2006","2,1365","2,1365","2,1365","2,1365","","0,07%"
"28.12.2006","2,1350","2,1446","2,1472","2,1297","","-0,49%"
"27.12.2006","2,1455","2,1427","2,1505","2,1424","","0,14%"
"26.12.2006","2,1424","2,1465","2,1496","2,1400","","-0,24%"
"25.12.2006","2,1475","2,1475","2,1475","2,1475","","0,00%"
"22.12.2006","2,1475","2,1590","2,1601","2,1456","","-0,62%"
"21.12.2006","2,1608","2,1573","2,1633","2,1525","","0,12%"
"20.12.2006","2,1583","2,1571","2,1635","2,1505","","0,04%"
"19.12.2006","2,1575","2,1522","2,1635","2,1481","","0,34%"
"18.12.2006","2,1502","2,1460","2,1522","2,1421","","0,20%"
"15.12.2006","2,1460","2,1460","2,1525","2,1408","","-0,02%"
"14.12.2006","2,1465","2,1480","2,1530","2,1396","","-0,05%"
"13.12.2006","2,1475","2,1484","2,1530","2,1422","","-0,16%"
"12.12.2006","2,1510","2,1395","2,1540","2,1360","","0,63%"
"11.12.2006","2,1375","2,1402","2,1460","2,1365","","-0,10%"
"08.12.2006","2,1397","2,1470","2,1512","2,1367","","-0,27%"
"07.12.2006","2,1455","2,1468","2,1536","2,1399","","-0,05%"
"06.12.2006","2,1465","2,1641","2,1641","2,1438","","-0,07%"
"05.12.2006","2,1480","2,1640","2,1640","2,1460","","-0,76%"
"04.12.2006","2,1644","2,1640","2,1740","2,1570","","-0,12%"
"01.12.2006","2,1670","2,1650","2,1750","2,1600","","0,09%"
"30.11.2006","2,1650","2,1640","2,1740","2,1600","","0,02%"
"29.11.2006","2,1645","2,1804","2,1855","2,1645","","-0,76%"
"28.11.2006","2,1810","2,2010","2,2010","2,1810","","-0,86%"
"27.11.2006","2,2000","2,1690","2,2040","2,1684","","1,43%"
"24.11.2006","2,1690","2,1691","2,1750","2,1634","","0,05%"
"23.11.2006","2,1680","2,1631","2,1720","2,1625","","0,07%"
"22.11.2006","2,1665","2,1630","2,1699","2,1565","","0,18%"
"21.11.2006","2,1626","2,1570","2,1680","2,1560","","0,19%"
"20.11.2006","2,1585","2,1615","2,1635","2,1585","","0,00%"
"17.11.2006","2,1585","2,1513","2,1680","2,1496","","0,12%"
"16.11.2006","2,1560","2,1495","2,1570","2,1426","","0,28%"
"15.11.2006","2,1500","2,1510","2,1510","2,1500","","0,00%"
"14.11.2006","2,1500","2,1625","2,1631","2,1460","","-0,60%"
"13.11.2006","2,1630","2,1525","2,1730","2,1510","","0,51%"
"10.11.2006","2,1520","2,1443","2,1540","2,1388","","0,33%"
"09.11.2006","2,1450","2,1443","2,1489","2,1374","","-0,05%"
"08.11.2006","2,1460","2,1383","2,1505","2,1383","","0,40%"
"07.11.2006","2,1375","2,1365","2,1420","2,1307","","0,04%"
"06.11.2006","2,1367","2,1383","2,1410","2,1337","","-0,18%"
"03.11.2006","2,1405","2,1383","2,1510","2,1370","","-0,16%"
"02.11.2006","2,1440","2,1405","2,1450","2,1405","","0,05%"
"01.11.2006","2,1430","2,1430","2,1450","2,1340","","0,01%"
"31.10.2006","2,1428","2,1482","2,1482","2,1250","","-0,40%"
"30.10.2006","2,1515","2,1361","2,1515","2,1341","","0,76%"
"27.10.2006","2,1352","2,1425","2,1449","2,1280","","-0,18%"
"26.10.2006","2,1390","2,1435","2,1435","2,1265","","-0,23%"
"25.10.2006","2,1440","2,1485","2,1585","2,1398","","-0,40%"
"24.10.2006","2,1526","2,1325","2,1590","2,1315","","0,65%"
"23.10.2006","2,1387","2,1395","2,1490","2,1355","","0,00%"
"20.10.2006","2,1387","2,1392","2,1527","2,1352","","-0,39%"
"19.10.2006","2,1470","2,1360","2,1480","2,1260","","0,51%"
"18.10.2006","2,1360","2,1320","2,1421","2,1220","","0,19%"
"17.10.2006","2,1320","2,1294","2,1470","2,1260","","0,02%"
"16.10.2006","2,1315","2,1350","2,1455","2,1260","","-0,28%"
"13.10.2006","2,1375","2,1570","2,1570","2,1340","","-0,67%"
"12.10.2006","2,1520","2,1658","2,1658","2,1500","","-0,35%"
"11.10.2006","2,1595","2,1510","2,1660","2,1475","","0,14%"
"10.10.2006","2,1565","2,1550","2,1580","2,1440","","0,07%"
"09.10.2006","2,1550","2,1620","2,1735","2,1535","","-0,32%"
"06.10.2006","2,1620","2,1580","2,1755","2,1570","","0,13%"
